DataSet,Compression,Encoding,Insert Time,Select Time
ingestion/UCI-data,SNAPPY,RAKE,0.14328763484954835,0.032480692863464354
ingestion/UCI-data,SNAPPY,RLE,0.15854475498199463,0.033731508255004886
ingestion/UCI-data,SNAPPY,TS_2DIFF,0.16553840637207032,0.03139007091522217
ingestion/UCI-data,SNAPPY,GORILLA,0.1747293472290039,0.03038489818572998
ingestion/UCI-data,SNAPPY,PLAIN,0.18678567409515381,0.02778944969177246
ingestion/UCI-data,SNAPPY,SPRINTZ,0.1443068265914917,0.028915882110595703
ingestion/UCI-data,SNAPPY,RLBE,0.14512579441070556,0.02251303195953369
ingestion/UCI-data,GZIP,RAKE,0.12412874698638916,0.020396113395690918
ingestion/UCI-data,GZIP,RLE,0.13701817989349366,0.025824356079101562
ingestion/UCI-data,GZIP,TS_2DIFF,0.164447021484375,0.028978252410888673
ingestion/UCI-data,GZIP,GORILLA,0.16085417270660402,0.02268538475036621
ingestion/UCI-data,GZIP,PLAIN,0.14777963161468505,0.02242462635040283
ingestion/UCI-data,GZIP,SPRINTZ,0.156721830368042,0.02436199188232422
ingestion/UCI-data,GZIP,RLBE,0.13687264919281006,0.02216494083404541
ingestion/UCI-data,NONE,RAKE,0.13414313793182372,0.022873449325561523
ingestion/UCI-data,NONE,RLE,0.18469338417053222,0.023703384399414062
ingestion/UCI-data,NONE,TS_2DIFF,0.15545182228088378,0.02588803768157959
ingestion/UCI-data,NONE,GORILLA,0.1659703254699707,0.022818732261657714
ingestion/UCI-data,NONE,PLAIN,0.16887104511260986,0.02340550422668457
ingestion/UCI-data,NONE,SPRINTZ,0.15939419269561766,0.024177980422973634
ingestion/UCI-data,NONE,RLBE,0.14790778160095214,0.0224637508392334
ingestion/UCI-data,LZ4,RAKE,0.1363581418991089,0.023662877082824708
ingestion/UCI-data,LZ4,RLE,0.1474061965942383,0.02779543399810791
ingestion/UCI-data,LZ4,TS_2DIFF,0.15105037689208983,0.02825949192047119
ingestion/UCI-data,LZ4,GORILLA,0.1713642120361328,0.023940110206604005
ingestion/UCI-data,LZ4,PLAIN,0.14970383644104004,0.023203492164611816
ingestion/UCI-data,LZ4,SPRINTZ,0.15686626434326173,0.021552467346191408
ingestion/UCI-data,LZ4,RLBE,0.1504748582839966,0.022934269905090333
ingestion/东配楼气象,SNAPPY,RAKE,0.14307811260223388,0.020805978775024415
ingestion/东配楼气象,SNAPPY,RLE,0.15763578414916993,0.02777414321899414
ingestion/东配楼气象,SNAPPY,TS_2DIFF,0.14508581161499023,0.027877163887023926
ingestion/东配楼气象,SNAPPY,GORILLA,0.16334619522094726,0.02486884593963623
ingestion/东配楼气象,SNAPPY,PLAIN,0.1525575637817383,0.022219085693359376
ingestion/东配楼气象,SNAPPY,SPRINTZ,0.15899233818054198,0.02708725929260254
ingestion/东配楼气象,SNAPPY,RLBE,0.14047641754150392,0.02750551700592041
ingestion/东配楼气象,GZIP,RAKE,0.1381981372833252,0.028769373893737793
ingestion/东配楼气象,GZIP,RLE,0.16647109985351563,0.02950730323791504
ingestion/东配楼气象,GZIP,TS_2DIFF,0.1674271583557129,0.02556748390197754
ingestion/东配楼气象,GZIP,GORILLA,0.15497536659240724,0.023309969902038576
ingestion/东配楼气象,GZIP,PLAIN,0.14696528911590576,0.02205510139465332
ingestion/东配楼气象,GZIP,SPRINTZ,0.16801459789276124,0.022176671028137206
ingestion/东配楼气象,GZIP,RLBE,0.1350560665130615,0.021166133880615234
ingestion/东配楼气象,NONE,RAKE,0.139332914352417,0.021794700622558595
ingestion/东配楼气象,NONE,RLE,0.15414042472839357,0.027919292449951172
ingestion/东配楼气象,NONE,TS_2DIFF,0.16815221309661865,0.02497520446777344
ingestion/东配楼气象,NONE,GORILLA,0.16105434894561768,0.02093353271484375
ingestion/东配楼气象,NONE,PLAIN,0.1671273946762085,0.02346346378326416
ingestion/东配楼气象,NONE,SPRINTZ,0.1519690990447998,0.02228381633758545
ingestion/东配楼气象,NONE,RLBE,0.14670135974884033,0.02155270576477051
ingestion/东配楼气象,LZ4,RAKE,0.14227144718170165,0.021299338340759276
ingestion/东配楼气象,LZ4,RLE,0.16037659645080565,0.02617599964141846
ingestion/东配楼气象,LZ4,TS_2DIFF,0.15130581855773925,0.02347261905670166
ingestion/东配楼气象,LZ4,GORILLA,0.16132335662841796,0.022655320167541505
ingestion/东配楼气象,LZ4,PLAIN,0.15180869102478028,0.020859622955322267
ingestion/东配楼气象,LZ4,SPRINTZ,0.16854617595672608,0.022461128234863282
ingestion/东配楼气象,LZ4,RLBE,0.1351855993270874,0.020221018791198732
ingestion/中船,SNAPPY,RAKE,0.13081974983215333,0.02785358428955078
ingestion/中船,SNAPPY,RLE,0.1597083330154419,0.030324673652648924
ingestion/中船,SNAPPY,TS_2DIFF,0.1684032678604126,0.028384923934936523
ingestion/中船,SNAPPY,GORILLA,0.15179483890533446,0.0235365629196167
ingestion/中船,SNAPPY,PLAIN,0.1543872117996216,0.02594115734100342
ingestion/中船,SNAPPY,SPRINTZ,0.16421360969543458,0.02245829105377197
ingestion/中船,SNAPPY,RLBE,0.16009654998779296,0.022743773460388184
ingestion/中船,GZIP,RAKE,0.13798060417175292,0.02193341255187988
ingestion/中船,GZIP,RLE,0.15412862300872804,0.027349472045898438
ingestion/中船,GZIP,TS_2DIFF,0.18993563652038575,0.02479872703552246
ingestion/中船,GZIP,GORILLA,0.1528719186782837,0.02195608615875244
ingestion/中船,GZIP,PLAIN,0.15719807147979736,0.02139315605163574
ingestion/中船,GZIP,SPRINTZ,0.14942800998687744,0.02081172466278076
ingestion/中船,GZIP,RLBE,0.14534733295440674,0.023459267616271973
ingestion/中船,NONE,RAKE,0.13380107879638672,0.020835185050964357
ingestion/中船,NONE,RLE,0.15929954051971434,0.02589836120605469
ingestion/中船,NONE,TS_2DIFF,0.1473940372467041,0.02657771110534668
ingestion/中船,NONE,GORILLA,0.16620664596557616,0.0217303991317749
ingestion/中船,NONE,PLAIN,0.1616272211074829,0.021485614776611327
ingestion/中船,NONE,SPRINTZ,0.1721895456314087,0.025706386566162108
ingestion/中船,NONE,RLBE,0.16014406681060792,0.025159525871276855
ingestion/中船,LZ4,RAKE,0.1540996551513672,0.02660689353942871
ingestion/中船,LZ4,RLE,0.15445005893707275,0.028601741790771483
ingestion/中船,LZ4,TS_2DIFF,0.16705734729766847,0.02867310047149658
ingestion/中船,LZ4,GORILLA,0.15461013317108155,0.021985459327697753
ingestion/中船,LZ4,PLAIN,0.18246862888336182,0.02154550552368164
ingestion/中船,LZ4,SPRINTZ,0.15404820442199707,0.022761821746826172
ingestion/中船,LZ4,RLBE,0.1697411060333252,0.022798919677734376
ingestion/潍柴,SNAPPY,RAKE,0.1419382333755493,0.02123851776123047
ingestion/潍柴,SNAPPY,RLE,0.14784998893737794,0.02482931613922119
ingestion/潍柴,SNAPPY,TS_2DIFF,0.15307953357696533,0.026214218139648436
ingestion/潍柴,SNAPPY,GORILLA,0.16116397380828856,0.022907114028930663
ingestion/潍柴,SNAPPY,PLAIN,0.16035330295562744,0.021397876739501952
ingestion/潍柴,SNAPPY,SPRINTZ,0.16999211311340331,0.027794075012207032
ingestion/潍柴,SNAPPY,RLBE,0.15602438449859618,0.026996946334838866
ingestion/潍柴,GZIP,RAKE,0.14032137393951416,0.0267733097076416
ingestion/潍柴,GZIP,RLE,0.15625176429748536,0.030171704292297364
ingestion/潍柴,GZIP,TS_2DIFF,0.16262683868408204,0.026316905021667482
ingestion/潍柴,GZIP,GORILLA,0.1674427032470703,0.024378418922424316
ingestion/潍柴,GZIP,PLAIN,0.16150081157684326,0.021857595443725585
ingestion/潍柴,GZIP,SPRINTZ,0.1533987283706665,0.02295546531677246
ingestion/潍柴,GZIP,RLBE,0.14241364002227783,0.02337050437927246
ingestion/潍柴,NONE,RAKE,0.14374022483825682,0.023244142532348633
ingestion/潍柴,NONE,RLE,0.15708503723144532,0.02481560707092285
ingestion/潍柴,NONE,TS_2DIFF,0.17069544792175292,0.024718594551086426
ingestion/潍柴,NONE,GORILLA,0.1718740463256836,0.02129359245300293
ingestion/潍柴,NONE,PLAIN,0.16020541191101073,0.019997143745422365
ingestion/潍柴,NONE,SPRINTZ,0.16492002010345458,0.022529911994934083
ingestion/潍柴,NONE,RLBE,0.15185093879699707,0.02177927494049072
ingestion/潍柴,LZ4,RAKE,0.14829802513122559,0.023113131523132324
ingestion/潍柴,LZ4,RLE,0.1705003261566162,0.028078556060791016
ingestion/潍柴,LZ4,TS_2DIFF,0.15921764373779296,0.03302531242370606
ingestion/潍柴,LZ4,GORILLA,0.15708673000335693,0.02646191120147705
ingestion/潍柴,LZ4,PLAIN,0.155588960647583,0.028716468811035158
ingestion/潍柴,LZ4,SPRINTZ,0.16039047241210938,0.020925498008728026
ingestion/潍柴,LZ4,RLBE,0.16119661331176757,0.022745895385742187
ingestion/广西观测风速,SNAPPY,RAKE,0.14962210655212402,0.013556838035583496
ingestion/广西观测风速,SNAPPY,RLE,0.14576294422149658,0.01444542407989502
ingestion/广西观测风速,SNAPPY,TS_2DIFF,0.15651979446411132,0.015863490104675294
ingestion/广西观测风速,SNAPPY,GORILLA,0.1740252733230591,0.013266324996948242
ingestion/广西观测风速,SNAPPY,PLAIN,0.16018953323364257,0.013106155395507812
ingestion/广西观测风速,SNAPPY,SPRINTZ,0.16623270511627197,0.013496828079223634
ingestion/广西观测风速,SNAPPY,RLBE,0.15760035514831544,0.013384461402893066
ingestion/广西观测风速,GZIP,RAKE,0.14862332344055176,0.013630366325378418
ingestion/广西观测风速,GZIP,RLE,0.1661134958267212,0.01601870059967041
ingestion/广西观测风速,GZIP,TS_2DIFF,0.17067437171936034,0.016267919540405275
ingestion/广西观测风速,GZIP,GORILLA,0.16529362201690673,0.013693428039550782
ingestion/广西观测风速,GZIP,PLAIN,0.1752760410308838,0.016440105438232423
ingestion/广西观测风速,GZIP,SPRINTZ,0.16946139335632324,0.016309547424316406
ingestion/广西观测风速,GZIP,RLBE,0.15619933605194092,0.014405107498168946
ingestion/广西观测风速,NONE,RAKE,0.16151673793792726,0.013233208656311035
ingestion/广西观测风速,NONE,RLE,0.15547046661376954,0.014888501167297364
ingestion/广西观测风速,NONE,TS_2DIFF,0.15602726936340333,0.015084505081176758
ingestion/广西观测风速,NONE,GORILLA,0.1531160593032837,0.013965320587158204
ingestion/广西观测风速,NONE,PLAIN,0.16861324310302733,0.01345064640045166
ingestion/广西观测风速,NONE,SPRINTZ,0.16328699588775636,0.012890958786010742
ingestion/广西观测风速,NONE,RLBE,0.15902357101440429,0.013268613815307617
ingestion/广西观测风速,LZ4,RAKE,0.1525404930114746,0.015544629096984864
ingestion/广西观测风速,LZ4,RLE,0.16256072521209716,0.015483283996582031
ingestion/广西观测风速,LZ4,TS_2DIFF,0.17498292922973632,0.015388011932373047
ingestion/广西观测风速,LZ4,GORILLA,0.1787099838256836,0.015247511863708495
ingestion/广西观测风速,LZ4,PLAIN,0.16533687114715576,0.016939258575439452
ingestion/广西观测风速,LZ4,SPRINTZ,0.14743344783782958,0.015138363838195801
ingestion/广西观测风速,LZ4,RLBE,0.16341028213500977,0.015944862365722658
ingestion/Synthetic,SNAPPY,RAKE,0.13480470180511475,0.02346935272216797
ingestion/Synthetic,SNAPPY,RLE,0.16082701683044434,0.024976539611816406
ingestion/Synthetic,SNAPPY,TS_2DIFF,0.14625270366668702,0.02507953643798828
ingestion/Synthetic,SNAPPY,GORILLA,0.1581486940383911,0.021701741218566894
ingestion/Synthetic,SNAPPY,PLAIN,0.16014132499694825,0.020807790756225585
ingestion/Synthetic,SNAPPY,SPRINTZ,0.1404050350189209,0.022544145584106445
ingestion/Synthetic,SNAPPY,RLBE,0.14913363456726075,0.02198207378387451
ingestion/Synthetic,GZIP,RAKE,0.14181621074676515,0.021120309829711914
ingestion/Synthetic,GZIP,RLE,0.1537335157394409,0.026507472991943358
ingestion/Synthetic,GZIP,TS_2DIFF,0.15967292785644532,0.024966168403625488
ingestion/Synthetic,GZIP,GORILLA,0.16192991733551027,0.023608684539794922
ingestion/Synthetic,GZIP,PLAIN,0.16672415733337403,0.02022430896759033
ingestion/Synthetic,GZIP,SPRINTZ,0.17574732303619384,0.02089972496032715
ingestion/Synthetic,GZIP,RLBE,0.13013558387756347,0.020672154426574708
ingestion/Synthetic,NONE,RAKE,0.13558244705200195,0.019864869117736817
ingestion/Synthetic,NONE,RLE,0.15624098777770995,0.024620842933654786
ingestion/Synthetic,NONE,TS_2DIFF,0.16485273838043213,0.02476963996887207
ingestion/Synthetic,NONE,GORILLA,0.15261712074279785,0.022245454788208007
ingestion/Synthetic,NONE,PLAIN,0.16359951496124267,0.021947526931762697
ingestion/Synthetic,NONE,SPRINTZ,0.15945427417755126,0.022594380378723144
ingestion/Synthetic,NONE,RLBE,0.14013476371765138,0.027161431312561036
ingestion/Synthetic,LZ4,RAKE,0.14036827087402343,0.02753934860229492
ingestion/Synthetic,LZ4,RLE,0.1433356523513794,0.02559473514556885
ingestion/Synthetic,LZ4,TS_2DIFF,0.1567636251449585,0.025003433227539062
ingestion/Synthetic,LZ4,GORILLA,0.1672722578048706,0.02069871425628662
ingestion/Synthetic,LZ4,PLAIN,0.15313010215759276,0.021616148948669433
ingestion/Synthetic,LZ4,SPRINTZ,0.14553475379943848,0.023800086975097657
ingestion/Synthetic,LZ4,RLBE,0.13812100887298584,0.02334010601043701
ingestion/microsoft,SNAPPY,RAKE,0.13546273708343506,0.0219008207321167
ingestion/microsoft,SNAPPY,RLE,0.16294255256652831,0.02348036766052246
ingestion/microsoft,SNAPPY,TS_2DIFF,0.16214454174041748,0.026632213592529298
ingestion/microsoft,SNAPPY,GORILLA,0.1709303617477417,0.023711585998535158
ingestion/microsoft,SNAPPY,PLAIN,0.14420158863067628,0.021723198890686034
ingestion/microsoft,SNAPPY,SPRINTZ,0.1530778408050537,0.021662354469299316
ingestion/microsoft,SNAPPY,RLBE,0.1468592405319214,0.021229195594787597
ingestion/microsoft,GZIP,RAKE,0.1271575689315796,0.022017860412597658
ingestion/microsoft,GZIP,RLE,0.14150409698486327,0.02502138614654541
ingestion/microsoft,GZIP,TS_2DIFF,0.1417909860610962,0.02651932239532471
ingestion/microsoft,GZIP,GORILLA,0.1408681631088257,0.022712230682373047
ingestion/microsoft,GZIP,PLAIN,0.1389770269393921,0.021396160125732422
ingestion/microsoft,GZIP,SPRINTZ,0.14115028381347655,0.021808266639709473
ingestion/microsoft,GZIP,RLBE,0.13538475036621095,0.02192530632019043
ingestion/microsoft,NONE,RAKE,0.12991840839385987,0.025573015213012695
ingestion/microsoft,NONE,RLE,0.16843099594116212,0.02969357967376709
ingestion/microsoft,NONE,TS_2DIFF,0.1706906795501709,0.029920744895935058
ingestion/microsoft,NONE,GORILLA,0.16864991188049316,0.022603273391723633
ingestion/microsoft,NONE,PLAIN,0.16608781814575196,0.021887969970703126
ingestion/microsoft,NONE,SPRINTZ,0.17151377201080323,0.02084333896636963
ingestion/microsoft,NONE,RLBE,0.14058897495269776,0.022838926315307616
ingestion/microsoft,LZ4,RAKE,0.13347582817077636,0.021396231651306153
ingestion/microsoft,LZ4,RLE,0.16095292568206787,0.02353949546813965
ingestion/microsoft,LZ4,TS_2DIFF,0.157926344871521,0.025103759765625
ingestion/microsoft,LZ4,GORILLA,0.161596941947937,0.022033119201660158
ingestion/microsoft,LZ4,PLAIN,0.1565270185470581,0.020760345458984374
ingestion/microsoft,LZ4,SPRINTZ,0.16830570697784425,0.02264890670776367
ingestion/microsoft,LZ4,RLBE,0.15557482242584228,0.023122072219848633
ingestion/云智慧,SNAPPY,RAKE,0.1659315586090088,0.007782483100891113
ingestion/云智慧,SNAPPY,RLE,0.165643048286438,0.008077621459960938
ingestion/云智慧,SNAPPY,TS_2DIFF,0.1533048391342163,0.008454108238220214
ingestion/云智慧,SNAPPY,GORILLA,0.16135129928588868,0.007625412940979004
ingestion/云智慧,SNAPPY,PLAIN,0.1587916374206543,0.008152437210083009
ingestion/云智慧,SNAPPY,SPRINTZ,0.16037392616271973,0.007694172859191895
ingestion/云智慧,SNAPPY,RLBE,0.16278772354125975,0.008913254737854004
ingestion/云智慧,GZIP,RAKE,0.16035425662994385,0.007907605171203614
ingestion/云智慧,GZIP,RLE,0.1588207721710205,0.008415007591247558
ingestion/云智慧,GZIP,TS_2DIFF,0.15622875690460206,0.007875633239746094
ingestion/云智慧,GZIP,GORILLA,0.1747675657272339,0.008501195907592773
ingestion/云智慧,GZIP,PLAIN,0.14949886798858641,0.008246135711669923
ingestion/云智慧,GZIP,SPRINTZ,0.17309982776641847,0.008715128898620606
ingestion/云智慧,GZIP,RLBE,0.1652308464050293,0.008977627754211426
ingestion/云智慧,NONE,RAKE,0.16520750522613525,0.008173465728759766
ingestion/云智慧,NONE,RLE,0.1601408004760742,0.008487582206726074
ingestion/云智慧,NONE,TS_2DIFF,0.15617587566375732,0.008461213111877442
ingestion/云智慧,NONE,GORILLA,0.16152162551879884,0.007688355445861816
ingestion/云智慧,NONE,PLAIN,0.17014291286468505,0.007687568664550781
ingestion/云智慧,NONE,SPRINTZ,0.15082759857177735,0.0078688383102417
ingestion/云智慧,NONE,RLBE,0.16682188510894774,0.008472657203674317
ingestion/云智慧,LZ4,RAKE,0.15500993728637696,0.008234047889709472
ingestion/云智慧,LZ4,RLE,0.1625960111618042,0.008496928215026855
ingestion/云智慧,LZ4,TS_2DIFF,0.15392134189605713,0.008904719352722168
ingestion/云智慧,LZ4,GORILLA,0.16644253730773925,0.007747960090637207
ingestion/云智慧,LZ4,PLAIN,0.16843099594116212,0.008320999145507813
ingestion/云智慧,LZ4,SPRINTZ,0.1755218505859375,0.00864105224609375
ingestion/云智慧,LZ4,RLBE,0.15947258472442627,0.008286714553833008
ingestion/万华,SNAPPY,RAKE,0.16983368396759033,0.008077883720397949
ingestion/万华,SNAPPY,RLE,0.15398612022399902,0.008510231971740723
ingestion/万华,SNAPPY,TS_2DIFF,0.17714807987213135,0.00862281322479248
ingestion/万华,SNAPPY,GORILLA,0.15661137104034423,0.008713960647583008
ingestion/万华,SNAPPY,PLAIN,0.1603632688522339,0.008264660835266113
ingestion/万华,SNAPPY,SPRINTZ,0.16335861682891845,0.009615421295166016
ingestion/万华,SNAPPY,RLBE,0.17969768047332763,0.008428049087524415
ingestion/万华,GZIP,RAKE,0.1716233015060425,0.008744931221008301
ingestion/万华,GZIP,RLE,0.14864709377288818,0.008708572387695313
ingestion/万华,GZIP,TS_2DIFF,0.17939956188201905,0.008384943008422852
ingestion/万华,GZIP,GORILLA,0.15362310409545898,0.008175325393676759
ingestion/万华,GZIP,PLAIN,0.1624298095703125,0.008184385299682618
ingestion/万华,GZIP,SPRINTZ,0.14655356407165526,0.008199405670166016
ingestion/万华,GZIP,RLBE,0.1791370391845703,0.00840620994567871
ingestion/万华,NONE,RAKE,0.15244951248168945,0.007922029495239258
ingestion/万华,NONE,RLE,0.16070494651794434,0.00836775302886963
ingestion/万华,NONE,TS_2DIFF,0.16132776737213134,0.008669781684875488
ingestion/万华,NONE,GORILLA,0.16523663997650145,0.008428287506103516
ingestion/万华,NONE,PLAIN,0.15950851440429686,0.007979822158813477
ingestion/万华,NONE,SPRINTZ,0.15846824645996094,0.00802001953125
ingestion/万华,NONE,RLBE,0.16737022399902343,0.00834033489227295
ingestion/万华,LZ4,RAKE,0.15440080165863038,0.0082017183303833
ingestion/万华,LZ4,RLE,0.15314254760742188,0.008623766899108886
ingestion/万华,LZ4,TS_2DIFF,0.1853280782699585,0.00866870880126953
ingestion/万华,LZ4,GORILLA,0.16317951679229736,0.008142495155334472
ingestion/万华,LZ4,PLAIN,0.16904516220092775,0.008994865417480468
ingestion/万华,LZ4,SPRINTZ,0.15318684577941893,0.00801224708557129
ingestion/万华,LZ4,RLBE,0.16007933616638184,0.008385324478149414
ingestion/UCI-gas,SNAPPY,RAKE,0.1403272867202759,0.021481776237487794
ingestion/UCI-gas,SNAPPY,RLE,0.17456283569335937,0.024396085739135744
ingestion/UCI-gas,SNAPPY,TS_2DIFF,0.15412793159484864,0.02512543201446533
ingestion/UCI-gas,SNAPPY,GORILLA,0.16642253398895263,0.0204754114151001
ingestion/UCI-gas,SNAPPY,PLAIN,0.17565460205078126,0.021772170066833497
ingestion/UCI-gas,SNAPPY,SPRINTZ,0.16709635257720948,0.02111937999725342
ingestion/UCI-gas,SNAPPY,RLBE,0.1553483486175537,0.021628355979919432
ingestion/UCI-gas,GZIP,RAKE,0.13514771461486816,0.02130420207977295
ingestion/UCI-gas,GZIP,RLE,0.16175341606140137,0.023541998863220216
ingestion/UCI-gas,GZIP,TS_2DIFF,0.168105149269104,0.027446961402893065
ingestion/UCI-gas,GZIP,GORILLA,0.15185983180999757,0.022278141975402833
ingestion/UCI-gas,GZIP,PLAIN,0.15786380767822267,0.021296477317810057
ingestion/UCI-gas,GZIP,SPRINTZ,0.15707871913909913,0.024672269821166992
ingestion/UCI-gas,GZIP,RLBE,0.15678143501281738,0.022049832344055175
ingestion/UCI-gas,NONE,RAKE,0.13324341773986817,0.019351935386657713
ingestion/UCI-gas,NONE,RLE,0.16674275398254396,0.02668607234954834
ingestion/UCI-gas,NONE,TS_2DIFF,0.1520561933517456,0.023822379112243653
ingestion/UCI-gas,NONE,GORILLA,0.16090683937072753,0.020149421691894532
ingestion/UCI-gas,NONE,PLAIN,0.15194568634033204,0.022267866134643554
ingestion/UCI-gas,NONE,SPRINTZ,0.15835082530975342,0.02141101360321045
ingestion/UCI-gas,NONE,RLBE,0.15414073467254638,0.022556328773498537
ingestion/UCI-gas,LZ4,RAKE,0.14142606258392335,0.022674155235290528
ingestion/UCI-gas,LZ4,RLE,0.14619364738464355,0.02687826156616211
ingestion/UCI-gas,LZ4,TS_2DIFF,0.1461272954940796,0.025424742698669435
ingestion/UCI-gas,LZ4,GORILLA,0.15659146308898925,0.021498274803161622
ingestion/UCI-gas,LZ4,PLAIN,0.15543062686920167,0.021279668807983397
ingestion/UCI-gas,LZ4,SPRINTZ,0.1630188226699829,0.0198972225189209
ingestion/UCI-gas,LZ4,RLBE,0.15454940795898436,0.02173917293548584
