DataSet,DataType,Mean,Standard_variance,MAD,Delta mean,Delta variance,Delta_spread,Entropy,Repeat,Increase,Encoding,Compression Ratio
diffvar_10.csv,INT32,-0.0334,36773.45788613418,27923.5,-13.147914791479147,999.5654429455209,8184,9.14183366511649,0.0,0.49204920492049203,RAKE,0.5502583333333333
diffvar_10.csv,INT32,-0.0334,36773.45788613418,27923.5,-13.147914791479147,999.5654429455209,8184,9.14183366511649,0.0,0.49204920492049203,RLE,0.35160833333333336
diffvar_10.csv,INT32,-0.0334,36773.45788613418,27923.5,-13.147914791479147,999.5654429455209,8184,9.14183366511649,0.0,0.49204920492049203,TS_2DIFF,0.16254166666666667
diffvar_10.csv,INT32,-0.0334,36773.45788613418,27923.5,-13.147914791479147,999.5654429455209,8184,9.14183366511649,0.0,0.49204920492049203,GORILLA,0.3457
diffvar_10.csv,INT32,-0.0334,36773.45788613418,27923.5,-13.147914791479147,999.5654429455209,8184,9.14183366511649,0.0,0.49204920492049203,PLAIN,0.2613666666666667
diffvar_10.csv,INT32,-0.0334,36773.45788613418,27923.5,-13.147914791479147,999.5654429455209,8184,9.14183366511649,0.0,0.49204920492049203,SPRINTZ,0.17536666666666667
diffvar_10.csv,INT32,-0.0334,36773.45788613418,27923.5,-13.147914791479147,999.5654429455209,8184,9.14183366511649,0.0,0.49204920492049203,RLBE,0.29935833333333334
diffvar_0.csv,INT32,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,RAKE,0.10121666666666666
diffvar_0.csv,INT32,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,RLE,0.017933333333333332
diffvar_0.csv,INT32,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,TS_2DIFF,0.028283333333333334
diffvar_0.csv,INT32,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,GORILLA,0.02835
diffvar_0.csv,INT32,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,PLAIN,0.10121666666666666
diffvar_0.csv,INT32,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,SPRINTZ,0.04570833333333333
diffvar_0.csv,INT32,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,RLBE,0.0329
diffvar_1.csv,INT32,-0.0664,2964.963197409209,1885.5,-0.7818781878187819,99.97968854444841,719,8.608930051439932,0.0,0.49284928492849284,RAKE,0.531125
diffvar_1.csv,INT32,-0.0664,2964.963197409209,1885.5,-0.7818781878187819,99.97968854444841,719,8.608930051439932,0.0,0.49284928492849284,RLE,0.35160833333333336
diffvar_1.csv,INT32,-0.0664,2964.963197409209,1885.5,-0.7818781878187819,99.97968854444841,719,8.608930051439932,0.0,0.49284928492849284,TS_2DIFF,0.12670833333333334
diffvar_1.csv,INT32,-0.0664,2964.963197409209,1885.5,-0.7818781878187819,99.97968854444841,719,8.608930051439932,0.0,0.49284928492849284,GORILLA,0.29973333333333335
diffvar_1.csv,INT32,-0.0664,2964.963197409209,1885.5,-0.7818781878187819,99.97968854444841,719,8.608930051439932,0.0,0.49284928492849284,PLAIN,0.18346666666666667
diffvar_1.csv,INT32,-0.0664,2964.963197409209,1885.5,-0.7818781878187819,99.97968854444841,719,8.608930051439932,0.0,0.49284928492849284,SPRINTZ,0.13994166666666666
diffvar_1.csv,INT32,-0.0664,2964.963197409209,1885.5,-0.7818781878187819,99.97968854444841,719,8.608930051439932,0.0,0.49284928492849284,RLBE,0.28241666666666665
diffvar_8.csv,INT32,-0.0675,32371.49230661051,19397.5,11.493049304930492,801.4930868345136,6151,9.14004982745405,0.0,0.5039503950395039,RAKE,0.5348083333333333
diffvar_8.csv,INT32,-0.0675,32371.49230661051,19397.5,11.493049304930492,801.4930868345136,6151,9.14004982745405,0.0,0.5039503950395039,RLE,0.35160833333333336
diffvar_8.csv,INT32,-0.0675,32371.49230661051,19397.5,11.493049304930492,801.4930868345136,6151,9.14004982745405,0.0,0.5039503950395039,TS_2DIFF,0.1574
diffvar_8.csv,INT32,-0.0675,32371.49230661051,19397.5,11.493049304930492,801.4930868345136,6151,9.14004982745405,0.0,0.5039503950395039,GORILLA,0.353225
diffvar_8.csv,INT32,-0.0675,32371.49230661051,19397.5,11.493049304930492,801.4930868345136,6151,9.14004982745405,0.0,0.5039503950395039,PLAIN,0.2526333333333333
diffvar_8.csv,INT32,-0.0675,32371.49230661051,19397.5,11.493049304930492,801.4930868345136,6151,9.14004982745405,0.0,0.5039503950395039,SPRINTZ,0.17148333333333332
diffvar_8.csv,INT32,-0.0675,32371.49230661051,19397.5,11.493049304930492,801.4930868345136,6151,9.14004982745405,0.0,0.5039503950395039,RLBE,0.29639166666666666
diffvar_2.csv,INT32,-0.0731,7933.735679940212,4684.5,1.4468446844684468,203.05055553385034,1468,8.923219411862187,0.0,0.5032503250325032,RAKE,0.5238166666666667
diffvar_2.csv,INT32,-0.0731,7933.735679940212,4684.5,1.4468446844684468,203.05055553385034,1468,8.923219411862187,0.0,0.5032503250325032,RLE,0.35160833333333336
diffvar_2.csv,INT32,-0.0731,7933.735679940212,4684.5,1.4468446844684468,203.05055553385034,1468,8.923219411862187,0.0,0.5032503250325032,TS_2DIFF,0.138175
diffvar_2.csv,INT32,-0.0731,7933.735679940212,4684.5,1.4468446844684468,203.05055553385034,1468,8.923219411862187,0.0,0.5032503250325032,GORILLA,0.31758333333333333
diffvar_2.csv,INT32,-0.0731,7933.735679940212,4684.5,1.4468446844684468,203.05055553385034,1468,8.923219411862187,0.0,0.5032503250325032,PLAIN,0.21411666666666668
diffvar_2.csv,INT32,-0.0731,7933.735679940212,4684.5,1.4468446844684468,203.05055553385034,1468,8.923219411862187,0.0,0.5032503250325032,SPRINTZ,0.14963333333333334
diffvar_2.csv,INT32,-0.0731,7933.735679940212,4684.5,1.4468446844684468,203.05055553385034,1468,8.923219411862187,0.0,0.5032503250325032,RLBE,0.28608333333333336
diffvar_5.csv,INT32,0.1539,18262.248054152995,7814.5,4.410941094109411,503.869583622622,4044,9.055725813844212,0.0,0.5052505250525052,RAKE,0.6503166666666667
diffvar_5.csv,INT32,0.1539,18262.248054152995,7814.5,4.410941094109411,503.869583622622,4044,9.055725813844212,0.0,0.5052505250525052,RLE,0.35160833333333336
diffvar_5.csv,INT32,0.1539,18262.248054152995,7814.5,4.410941094109411,503.869583622622,4044,9.055725813844212,0.0,0.5052505250525052,TS_2DIFF,0.1522
diffvar_5.csv,INT32,0.1539,18262.248054152995,7814.5,4.410941094109411,503.869583622622,4044,9.055725813844212,0.0,0.5052505250525052,GORILLA,0.36436666666666667
diffvar_5.csv,INT32,0.1539,18262.248054152995,7814.5,4.410941094109411,503.869583622622,4044,9.055725813844212,0.0,0.5052505250525052,PLAIN,0.2385
diffvar_5.csv,INT32,0.1539,18262.248054152995,7814.5,4.410941094109411,503.869583622622,4044,9.055725813844212,0.0,0.5052505250525052,SPRINTZ,0.16950833333333334
diffvar_5.csv,INT32,0.1539,18262.248054152995,7814.5,4.410941094109411,503.869583622622,4044,9.055725813844212,0.0,0.5052505250525052,RLBE,0.292275
diffvar_3.csv,INT32,-0.0259,10144.161028731218,7879.5,3.4075407540754075,296.64626599344797,2289,9.017166357424799,0.0,0.5046504650465047,RAKE,0.5532666666666667
diffvar_3.csv,INT32,-0.0259,10144.161028731218,7879.5,3.4075407540754075,296.64626599344797,2289,9.017166357424799,0.0,0.5046504650465047,RLE,0.35160833333333336
diffvar_3.csv,INT32,-0.0259,10144.161028731218,7879.5,3.4075407540754075,296.64626599344797,2289,9.017166357424799,0.0,0.5046504650465047,TS_2DIFF,0.142
diffvar_3.csv,INT32,-0.0259,10144.161028731218,7879.5,3.4075407540754075,296.64626599344797,2289,9.017166357424799,0.0,0.5046504650465047,GORILLA,0.31749166666666667
diffvar_3.csv,INT32,-0.0259,10144.161028731218,7879.5,3.4075407540754075,296.64626599344797,2289,9.017166357424799,0.0,0.5046504650465047,PLAIN,0.22515
diffvar_3.csv,INT32,-0.0259,10144.161028731218,7879.5,3.4075407540754075,296.64626599344797,2289,9.017166357424799,0.0,0.5046504650465047,SPRINTZ,0.15643333333333334
diffvar_3.csv,INT32,-0.0259,10144.161028731218,7879.5,3.4075407540754075,296.64626599344797,2289,9.017166357424799,0.0,0.5046504650465047,RLBE,0.2881916666666667
diffvar_9.csv,INT32,0.1705,47345.53312584018,17950.0,-13.807580758075808,906.4887539096303,6923,9.136482152129172,0.0,0.49404940494049404,RAKE,0.6489
diffvar_9.csv,INT32,0.1705,47345.53312584018,17950.0,-13.807580758075808,906.4887539096303,6923,9.136482152129172,0.0,0.49404940494049404,RLE,0.35160833333333336
diffvar_9.csv,INT32,0.1705,47345.53312584018,17950.0,-13.807580758075808,906.4887539096303,6923,9.136482152129172,0.0,0.49404940494049404,TS_2DIFF,0.161075
diffvar_9.csv,INT32,0.1705,47345.53312584018,17950.0,-13.807580758075808,906.4887539096303,6923,9.136482152129172,0.0,0.49404940494049404,GORILLA,0.336725
diffvar_9.csv,INT32,0.1705,47345.53312584018,17950.0,-13.807580758075808,906.4887539096303,6923,9.136482152129172,0.0,0.49404940494049404,PLAIN,0.2539166666666667
diffvar_9.csv,INT32,0.1705,47345.53312584018,17950.0,-13.807580758075808,906.4887539096303,6923,9.136482152129172,0.0,0.49404940494049404,SPRINTZ,0.17808333333333334
diffvar_9.csv,INT32,0.1705,47345.53312584018,17950.0,-13.807580758075808,906.4887539096303,6923,9.136482152129172,0.0,0.49404940494049404,RLBE,0.2992916666666667
diffvar_6.csv,INT32,0.0806,11437.969432827824,6812.0,3.1226122612261227,607.7416835820407,4976,9.028576663646778,0.0,0.5035503550355036,RAKE,0.6156
diffvar_6.csv,INT32,0.0806,11437.969432827824,6812.0,3.1226122612261227,607.7416835820407,4976,9.028576663646778,0.0,0.5035503550355036,RLE,0.35160833333333336
diffvar_6.csv,INT32,0.0806,11437.969432827824,6812.0,3.1226122612261227,607.7416835820407,4976,9.028576663646778,0.0,0.5035503550355036,TS_2DIFF,0.1526
diffvar_6.csv,INT32,0.0806,11437.969432827824,6812.0,3.1226122612261227,607.7416835820407,4976,9.028576663646778,0.0,0.5035503550355036,GORILLA,0.3687416666666667
diffvar_6.csv,INT32,0.0806,11437.969432827824,6812.0,3.1226122612261227,607.7416835820407,4976,9.028576663646778,0.0,0.5035503550355036,PLAIN,0.22051666666666667
diffvar_6.csv,INT32,0.0806,11437.969432827824,6812.0,3.1226122612261227,607.7416835820407,4976,9.028576663646778,0.0,0.5035503550355036,SPRINTZ,0.16956666666666667
diffvar_6.csv,INT32,0.0806,11437.969432827824,6812.0,3.1226122612261227,607.7416835820407,4976,9.028576663646778,0.0,0.5035503550355036,RLBE,0.29445
diffvar_7.csv,INT32,-0.0142,20292.870114737303,12977.5,5.317131713171317,695.1292300012811,5738,9.114832194675333,0.0,0.5021502150215021,RAKE,0.5611416666666666
diffvar_7.csv,INT32,-0.0142,20292.870114737303,12977.5,5.317131713171317,695.1292300012811,5738,9.114832194675333,0.0,0.5021502150215021,RLE,0.35160833333333336
diffvar_7.csv,INT32,-0.0142,20292.870114737303,12977.5,5.317131713171317,695.1292300012811,5738,9.114832194675333,0.0,0.5021502150215021,TS_2DIFF,0.15353333333333333
diffvar_7.csv,INT32,-0.0142,20292.870114737303,12977.5,5.317131713171317,695.1292300012811,5738,9.114832194675333,0.0,0.5021502150215021,GORILLA,0.3541666666666667
diffvar_7.csv,INT32,-0.0142,20292.870114737303,12977.5,5.317131713171317,695.1292300012811,5738,9.114832194675333,0.0,0.5021502150215021,PLAIN,0.24346666666666666
diffvar_7.csv,INT32,-0.0142,20292.870114737303,12977.5,5.317131713171317,695.1292300012811,5738,9.114832194675333,0.0,0.5021502150215021,SPRINTZ,0.16958333333333334
diffvar_7.csv,INT32,-0.0142,20292.870114737303,12977.5,5.317131713171317,695.1292300012811,5738,9.114832194675333,0.0,0.5021502150215021,RLBE,0.29538333333333333
diffvar_4.csv,INT32,-0.0339,24011.536791808034,17452.5,-3.5715571557155714,400.4222626851945,3019,9.089316247810704,0.0,0.5000500050005,RAKE,0.5556333333333333
diffvar_4.csv,INT32,-0.0339,24011.536791808034,17452.5,-3.5715571557155714,400.4222626851945,3019,9.089316247810704,0.0,0.5000500050005,RLE,0.35160833333333336
diffvar_4.csv,INT32,-0.0339,24011.536791808034,17452.5,-3.5715571557155714,400.4222626851945,3019,9.089316247810704,0.0,0.5000500050005,TS_2DIFF,0.14693333333333333
diffvar_4.csv,INT32,-0.0339,24011.536791808034,17452.5,-3.5715571557155714,400.4222626851945,3019,9.089316247810704,0.0,0.5000500050005,GORILLA,0.34731666666666666
diffvar_4.csv,INT32,-0.0339,24011.536791808034,17452.5,-3.5715571557155714,400.4222626851945,3019,9.089316247810704,0.0,0.5000500050005,PLAIN,0.245375
diffvar_4.csv,INT32,-0.0339,24011.536791808034,17452.5,-3.5715571557155714,400.4222626851945,3019,9.089316247810704,0.0,0.5000500050005,SPRINTZ,0.16328333333333334
diffvar_4.csv,INT32,-0.0339,24011.536791808034,17452.5,-3.5715571557155714,400.4222626851945,3019,9.089316247810704,0.0,0.5000500050005,RLBE,0.29133333333333333
